Province_State,date,Lat,Long_,Confirmed,Deaths,STATE,COUNTY,POPESTIMATE2019,covid symptoms,do i have covid,covid test,covid near me,covid vaccines,covid travel,travel restrictions,covid depression,covid health insurance,test sites,bars near me,Confirmed_Percent,Deaths_Percent,Confirmed_Percent_Smooth,Deaths_Percent_Smooth,Confirmed_Smooth,Deaths_Smooth
Colorado,2020-04-13 00:00:01,38.97137793464287,-105.56469318214286,6.887179628454966,0.29641026249046687,8.0,63.517857142857146,102415.96428571429,40,0,21,9,0,6,11,0,0,10,10,-49.55300127713921,-58.53658536585367,inf,,6.113306721368581,0.37404359862207787
Colorado,2020-04-14 00:00:01,38.97137793464287,-105.56469318214286,4.96923087116371,0.36615385366469444,8.0,63.517857142857146,102415.96428571429,43,24,22,14,0,6,6,10,10,10,10,-27.848101265822784,23.52941176470591,inf,,6.5774254073844505,0.3913992623134091
Colorado,2020-04-15 00:00:01,38.97137793464287,-105.56469318214286,0.10461538676134126,0.017435897793556875,8.0,63.517857142857146,102415.96428571429,36,0,11,9,0,4,4,0,0,0,0,-97.89473684210527,-95.23809523809524,inf,,6.612621724753408,0.44370695569407975
Colorado,2020-04-16 00:00:01,38.97137793464287,-105.56469318214286,5.8933334542222235,0.4533333426324788,8.0,63.517857142857146,102415.96428571429,39,22,12,10,3,5,5,0,23,0,11,5533.333333333333,2500.0000000000005,inf,,6.027838951486806,0.3412454282453274
Colorado,2020-04-17 00:00:01,38.97137793464287,-105.56469318214286,7.323077073293889,0.29641026249046687,8.0,63.517857142857146,102415.96428571429,29,0,21,9,0,6,7,29,0,19,0,24.260355029585824,-34.61538461538463,inf,,6.869743730661409,0.4060073343356815
Colorado,2020-04-18 00:00:01,38.97137793464287,-105.56469318214286,6.712820650519397,0.29641026249046687,8.0,63.517857142857146,102415.96428571429,38,26,23,7,0,4,6,0,0,0,10,-8.333333333333345,0.0,778.638397896211,inf,6.545934200209638,0.44835165754860534
Colorado,2020-04-19 00:00:01,38.97137793464287,-105.56469318214286,11.089230996702174,0.5405128316002632,8.0,63.517857142857146,102415.96428571429,31,28,22,6,3,6,7,9,0,9,0,65.19480519480521,82.35294117647062,781.3180515758647,329.58131015811085,6.506080719538652,0.3487179558711375
Colorado,2020-04-20 00:00:01,38.97137793464287,-105.56469318214286,0.0,0.0,8.0,63.517857142857146,102415.96428571429,27,0,16,6,6,8,13,9,0,0,19,-100.0,-100.0,777.0227601199034,345.35604110312045,6.139926865873957,0.3238095304517706
Colorado,2020-04-21 00:00:01,38.97137793464287,-105.56469318214286,12.745641287090079,1.0984615609940833,8.0,63.517857142857146,102415.96428571429,25,24,16,10,0,4,4,10,0,10,19,inf,inf,769.8160460166376,339.43269615538526,5.156044061808962,0.2814652072388467
Colorado,2020-04-22 00:00:01,38.97137793464287,-105.56469318214286,7.828718109307037,0.40102564925180817,8.0,63.517857142857146,102415.96428571429,45,0,20,12,0,3,3,0,0,0,11,-38.577291381668964,-63.492063492063494,inf,inf,6.266959835512729,0.38608059400018796
Colorado,2020-04-23 00:00:01,38.97137793464287,-105.56469318214286,6.521025774790272,0.7671795029165027,8.0,63.517857142857146,102415.96428571429,36,24,21,10,0,10,5,0,0,0,23,-16.70378619153674,91.30434782608698,inf,inf,7.370403081590685,0.4408791299227953
Colorado,2020-04-24 00:00:01,38.97137793464287,-105.56469318214286,17.139487531066408,2.109743633020382,8.0,63.517857142857146,102415.96428571429,24,0,25,10,0,6,3,10,0,10,0,162.8342245989305,174.99999999999991,inf,inf,7.460073413100408,0.4857142956776559
Colorado,2020-04-25 00:00:01,38.97137793464287,-105.56469318214286,11.926154090792902,0.1743589779355688,8.0,63.517857142857146,102415.96428571429,44,28,39,10,3,4,21,0,10,0,10,-30.41709053916582,-91.73553719008264,inf,inf,8.862417764210766,0.7447619200390723
Colorado,2020-04-26 00:00:01,38.95016937105264,-105.60173942280701,7.531351867199951,0.06973473951111067,8.0,64.35087719298245,100631.9649122807,21,28,42,6,0,3,9,10,0,20,0,-36.85012108795222,-60.00507668903641,inf,inf,9.60717968424984,0.7273260222455153
Colorado,2020-04-27 00:00:01,38.95016937105264,-105.60173942280701,7.566219236955506,0.31380632779999795,8.0,64.35087719298245,100631.9649122807,35,24,28,10,0,3,7,0,0,0,19,0.46296296296296213,349.99999999999994,inf,inf,9.098911237178093,0.6600720090899223
Colorado,2020-04-28 00:00:01,38.95016937105264,-105.60173942280701,7.810290825244393,0.5404442312111076,8.0,64.35087719298245,100631.9649122807,36,24,34,23,0,3,10,0,10,0,0,3.2258064516128977,72.22222222222224,inf,inf,10.17979969960031,0.7049014844899221
Colorado,2020-04-29 00:00:01,38.95016937105264,-105.60173942280701,8.05436241353328,0.52301054633333,8.0,64.35087719298245,100631.9649122807,32,24,29,10,0,3,7,11,0,0,11,3.1249999999999947,-3.2258064516128973,6.282100687597516,67.6134132395895,9.474749633622352,0.625184723092354
Colorado,2020-04-30 00:00:01,38.95016937105264,-105.60173942280701,8.943480342299942,0.19177053365555433,8.0,64.35087719298245,100631.9649122807,38,0,21,12,0,11,7,0,12,12,12,11.038961038961059,-63.33333333333334,12.239570884978793,76.22287853108244,9.506984534226103,0.6426111369611427
Colorado,2020-05-01 00:00:01,38.95016937105264,-105.60173942280701,8.124097153044392,0.7496484497444397,8.0,64.35087719298245,100631.9649122807,24,0,29,12,0,5,14,10,0,0,20,-9.161793372319686,290.90909090909093,16.202820489335625,54.13178122259382,9.853049472441768,0.5604098556381502
Colorado,2020-05-02 00:00:01,38.95016937105264,-105.60173942280701,7.095509745255508,0.19177053365555433,8.0,64.35087719298245,100631.9649122807,33,0,39,15,0,8,9,10,10,0,0,-12.660944206008608,-74.4186046511628,-8.368039220842972,70.69022278103539,8.565136561295768,0.36611054374158697
Colorado,2020-05-03 00:00:01,38.95016937105264,-105.60173942280701,6.868871841844401,0.17433684877777664,8.0,64.35087719298245,100631.9649122807,27,28,32,11,0,11,14,0,20,0,0,-3.1941031941031577,-9.090909090909102,-5.8314468875348,73.16407028659538,7.8750445119332815,0.3685979088444421
Colorado,2020-05-04 00:00:01,38.95016937105264,-105.60173942280701,4.9337328204110795,0.15690316389999898,8.0,64.35087719298245,100631.9649122807,20,0,25,12,0,6,13,0,0,0,13,-28.172588832487314,-9.999999999999998,-1.0234443312706483,80.43752280061355,7.780404508311059,0.3835410673111087
Colorado,2020-05-05 00:00:01,38.95016937105264,-105.60173942280701,8.751709808644389,0.889117928766661,8.0,64.35087719298245,100631.9649122807,26,22,31,18,3,12,12,0,0,10,10,77.38515901060072,466.6666666666667,-5.114237444906402,29.008951372042144,7.404335020233285,0.36112632961110885
Colorado,2020-05-06 00:00:01,38.95016937105264,-105.60173942280701,8.542505590111055,0.27893895804444263,8.0,64.35087719298245,100631.9649122807,30,24,38,10,3,10,10,0,0,0,11,-2.390438247011968,-68.62745098039215,5.479955777806144,85.3581577212485,7.538823446433284,0.41093685783333067
Colorado,2020-05-07 00:00:01,38.95016937105264,-105.60173942280701,9.571092997899939,0.4358421219444416,8.0,64.35087719298245,100631.9649122807,20,0,27,11,0,9,16,12,0,0,0,12.040816326530628,56.25,4.692036028233005,76.01506564570862,7.608558185944396,0.37606948807777535
Colorado,2020-05-08 00:00:01,38.91845821118645,-105.56091782542372,8.17952063832283,0.2784517664109899,8.0,62.813559322033896,97390.81355932204,32,0,27,10,0,3,7,0,0,10,10,-14.539325444674336,-36.111781677108034,4.835158212171516,93.09839897904193,7.698217136744395,0.41093685783333067
Colorado,2020-05-09 00:00:01,38.91845821118645,-105.56091782542372,8.858246818949615,0.1218226478048081,8.0,62.813559322033896,97390.81355932204,20,0,26,19,0,9,13,0,9,0,9,8.297872340425505,-56.249999999999986,4.066939344692281,46.38113146672781,7.706134777498456,0.34362304592855214
Colorado,2020-05-10 00:00:01,38.90239628983334,-105.51943618666665,4.955112763588093,0.06954544229597324,8.0,61.95,95860.58333333333,33,30,24,15,0,6,12,0,0,10,0,-44.06215061666508,-42.912550704526375,7.061055994182868,48.976646416893914,7.957954359454758,0.33363049080701696
Colorado,2020-05-11 00:00:01,38.90239628983334,-105.51943618666665,4.25965834062836,0.2955681297578862,8.0,61.95,95860.58333333333,19,0,32,11,3,5,11,0,10,10,0,-14.035087719298257,324.9999999999999,1.222763505245452,44.14498332923431,7.684560205418143,0.318660289881045
Colorado,2020-05-12 00:00:01,38.90239628983334,-105.51943618666665,5.737498989417792,0.39988629320184615,8.0,61.95,95860.58333333333,28,24,20,9,0,8,9,10,10,20,0,34.69387755102042,35.294117647058854,3.2424065214153153,92.00212618637715,7.588263851163469,0.3384695707178861
Colorado,2020-05-13 00:00:01,38.90239628983334,-105.51943618666665,5.807044431713765,0.9040907498476521,8.0,61.95,95860.58333333333,28,0,21,14,4,7,16,12,0,0,34,1.2121212121212068,126.0869565217391,-2.856347972810442,30.377476326433168,7.157662305559669,0.2685793370657697
Colorado,2020-05-14 00:00:01,38.90239628983334,-105.51943618666665,6.554657936395478,0.46943173549781936,8.0,61.95,95860.58333333333,34,0,15,17,0,7,9,0,12,0,12,12.874251497006012,-48.07692307692308,-2.341696621505702,58.193820255309056,6.766882140074342,0.3578867358947996
Colorado,2020-05-15 00:00:01,38.90239628983334,-105.51943618666665,7.0240896718932975,1.112727076735572,8.0,61.95,95860.58333333333,33,24,29,8,6,15,15,10,0,0,10,7.161803713527849,137.03703703703707,-2.222634454294933,43.2899741014629,6.335962845573705,0.3626852521167107
Colorado,2020-05-16 00:00:01,38.90239628983334,-105.51943618666665,6.693748820987425,0.7302271441077189,8.0,61.95,95860.58333333333,25,0,30,9,0,8,20,0,0,10,20,-4.702970297029698,-34.37500000000001,0.8775268540196662,68.02551963205507,6.170901278940915,0.4818674393059367
Colorado,2020-05-17 00:00:01,38.90239628983334,-105.51943618666665,5.1985218116239995,0.39988629320184615,8.0,61.95,95860.58333333333,21,0,38,20,0,12,22,0,0,0,0,-22.337662337662348,-45.23809523809523,-0.9797363799025068,71.15051963205507,5.86168727923203,0.5687823673492096
Colorado,2020-05-18 00:00:01,38.90239628983334,-105.51943618666665,4.6769309944041995,0.15647724516593975,8.0,61.95,95860.58333333333,29,0,32,20,3,15,6,10,20,0,10,-10.033444816053526,-60.86956521739131,2.1237619456693126,70.81829898440236,5.896460000380016,0.6159739174786202
Colorado,2020-05-19 00:00:01,38.90239628983334,-105.51943618666665,5.09420364818004,0.5737498989417793,8.0,61.95,95860.58333333333,24,0,29,14,3,5,14,10,0,10,10,8.921933085501877,266.6666666666668,2.6954252175614153,15.694075381917912,5.956070379490852,0.596103791108342
Colorado,2020-05-20 00:00:01,38.90239628983334,-105.51943618666665,5.441930859659906,0.7302271441077193,8.0,61.95,95860.58333333333,31,25,27,13,4,11,18,0,12,12,18,6.825938566552906,27.2727272727273,-0.9862811346555177,48.747296670433336,5.864171045028315,0.6209414490711896
Colorado,2020-05-21 00:00:01,38.90239628983334,-105.51943618666665,6.432953412377525,0.19124996631392638,8.0,61.95,95860.58333333333,28,0,24,11,4,13,21,12,0,12,12,18.210862619808317,-73.80952380952381,-0.18430722687956105,34.630978206288795,5.812011963306334,0.5961037911083421
Colorado,2020-05-22 00:00:01,38.90239628983334,-105.51943618666665,5.09420364818004,0.24340904803590632,8.0,61.95,95860.58333333333,28,0,22,9,0,16,14,10,0,0,21,-20.81081081081082,27.272727272727284,0.5780657906636252,30.954892387345833,5.79462560273234,0.556363538367786
Colorado,2020-05-23 00:00:01,38.90239628983334,-105.51943618666665,7.736930455427023,0.06954544229597324,8.0,61.95,95860.58333333333,28,0,25,23,0,6,23,0,0,10,10,51.87713310580206,-71.42857142857143,-3.418021998527613,15.274276706730147,5.5189275993447335,0.432175248553548
Colorado,2020-05-24 00:00:01,38.90239628983334,-105.51943618666665,3.6685220811125885,0.08693180286996653,8.0,61.95,95860.58333333333,28,0,19,15,0,5,9,10,0,0,30,-52.58426966292135,24.999999999999964,4.6648499161626376,9.980909359791372,5.667953547121819,0.33779214829472715
Colorado,2020-05-25 00:00:01,38.90239628983334,-105.51943618666665,3.598976638816615,0.01738636057399331,8.0,61.95,95860.58333333333,25,0,39,10,3,5,13,0,0,11,27,-1.8957345971564017,-79.99999999999999,0.3439060125542091,20.014922965233545,5.449382157048761,0.29308436396160154
