date,do i have covid,isPartial,State
2020-04-16,25,False,AZ
2020-04-17,0,False,AZ
2020-04-18,0,False,AZ
2020-04-19,29,False,AZ
2020-04-20,0,False,AZ
2020-04-21,25,False,AZ
2020-04-22,26,False,AZ
2020-04-23,25,False,AZ
2020-04-24,26,False,AZ
2020-04-25,0,False,AZ
2020-04-26,0,False,AZ
2020-04-27,26,False,AZ
2020-04-28,0,False,AZ
2020-04-29,0,False,AZ
2020-04-30,25,False,AZ
2020-05-01,26,False,AZ
2020-05-02,29,False,AZ
2020-05-03,0,False,AZ
2020-05-04,0,False,AZ
2020-05-05,49,False,AZ
2020-05-06,51,False,AZ
2020-05-07,26,False,AZ
2020-05-08,26,False,AZ
2020-05-09,29,False,AZ
2020-05-10,30,False,AZ
2020-05-11,26,False,AZ
2020-05-12,0,False,AZ
2020-05-13,0,False,AZ
2020-05-14,26,False,AZ
2020-05-15,53,False,AZ
2020-05-16,0,False,AZ
2020-05-17,0,False,AZ
2020-05-18,26,False,AZ
2020-05-19,26,False,AZ
2020-05-20,27,False,AZ
2020-05-21,27,False,AZ
2020-05-22,0,False,AZ
2020-05-23,30,False,AZ
2020-05-24,0,False,AZ
2020-05-25,0,False,AZ
2020-05-26,27,False,AZ
2020-05-27,27,False,AZ
2020-05-28,27,False,AZ
2020-05-29,0,False,AZ
2020-05-30,0,False,AZ
2020-05-31,58,False,AZ
2020-06-01,26,False,AZ
2020-06-02,0,False,AZ
2020-06-03,0,False,AZ
2020-06-04,100,False,AZ
2020-06-05,0,False,AZ
2020-06-06,0,False,AZ
2020-06-07,0,False,AZ
2020-06-08,0,False,AZ
2020-06-09,0,False,AZ
2020-06-10,27,False,AZ
2020-06-11,40,False,AZ
2020-06-12,27,False,AZ
2020-06-13,29,False,AZ
2020-06-14,30,False,AZ
2020-06-15,27,False,AZ
2020-06-16,0,False,AZ
2020-06-17,0,False,AZ
2020-06-18,0,False,AZ
2020-06-19,54,False,AZ
2020-06-20,74,False,AZ
2020-06-21,31,False,AZ
2020-06-22,27,False,AZ
2020-06-23,41,False,AZ
2020-06-24,55,False,AZ
2020-06-25,55,False,AZ
2020-06-26,70,False,AZ
2020-06-27,30,False,AZ
2020-06-28,30,False,AZ
2020-06-29,42,False,AZ
2020-06-30,0,False,AZ
2020-07-01,42,False,AZ
2020-07-02,28,False,AZ
2020-07-03,29,False,AZ
2020-07-04,31,False,AZ
2020-07-05,49,False,AZ
2020-07-06,0,False,AZ
