,date,date,State,State,covid symptoms,do i have covid
122,2020-07-22,2020-07-22,AL,AL,48,0
123,2020-07-23,2020-07-23,AL,AL,26,0
124,2020-07-24,2020-07-24,AL,AL,45,0
125,2020-07-25,2020-07-25,AL,AL,49,37
126,2020-07-26,2020-07-26,AL,AL,33,38
127,2020-07-27,2020-07-27,AL,AL,50,0
128,2020-07-28,2020-07-28,AL,AL,50,0
129,2020-07-29,2020-07-29,AL,AL,45,34
130,2020-07-30,2020-07-30,AL,AL,35,34
131,2020-07-31,2020-07-31,AL,AL,27,0
132,2020-08-01,2020-08-01,AL,AL,23,0
133,2020-08-02,2020-08-02,AL,AL,35,38
134,2020-08-03,2020-08-03,AL,AL,39,100
135,2020-08-04,2020-08-04,AL,AL,47,0
136,2020-08-05,2020-08-05,AL,AL,31,0
137,2020-08-06,2020-08-06,AL,AL,41,0
138,2020-08-07,2020-08-07,AL,AL,28,0
139,2020-08-08,2020-08-08,AL,AL,28,38
140,2020-08-09,2020-08-09,AL,AL,41,0
141,2020-08-10,2020-08-10,AL,AL,44,33
142,2020-08-11,2020-08-11,AL,AL,40,0
143,2020-08-12,2020-08-12,AL,AL,32,33
144,2020-08-13,2020-08-13,AL,AL,34,33
145,2020-08-14,2020-08-14,AL,AL,29,0
146,2020-08-15,2020-08-15,AL,AL,15,38
147,2020-08-16,2020-08-16,AL,AL,27,38
148,2020-08-17,2020-08-17,AL,AL,18,33
149,2020-08-18,2020-08-18,AL,AL,26,32
150,2020-08-19,2020-08-19,AL,AL,34,0
151,2020-08-20,2020-08-20,AL,AL,35,0
152,2020-08-21,2020-08-21,AL,AL,25,0
153,2020-08-22,2020-08-22,AL,AL,31,0
154,2020-08-23,2020-08-23,AL,AL,23,38
155,2020-08-24,2020-08-24,AL,AL,23,0
156,2020-08-25,2020-08-25,AL,AL,34,30
157,2020-08-26,2020-08-26,AL,AL,35,60
158,2020-08-27,2020-08-27,AL,AL,27,0
159,2020-08-28,2020-08-28,AL,AL,32,0
160,2020-08-29,2020-08-29,AL,AL,15,72
161,2020-08-30,2020-08-30,AL,AL,25,72
162,2020-08-31,2020-08-31,AL,AL,35,0
163,2020-09-01,2020-09-01,AL,AL,36,0
164,2020-09-02,2020-09-02,AL,AL,29,0
165,2020-09-03,2020-09-03,AL,AL,23,30
166,2020-09-04,2020-09-04,AL,AL,20,62
167,2020-09-05,2020-09-05,AL,AL,23,0
168,2020-09-06,2020-09-06,AL,AL,37,0
169,2020-09-07,2020-09-07,AL,AL,21,0
170,2020-09-08,2020-09-08,AL,AL,40,0
171,2020-09-09,2020-09-09,AL,AL,36,30
172,2020-09-10,2020-09-10,AL,AL,24,0
173,2020-09-11,2020-09-11,AL,AL,34,0
174,2020-09-12,2020-09-12,AL,AL,25,37
175,2020-09-13,2020-09-13,AL,AL,23,0
176,2020-09-14,2020-09-14,AL,AL,27,30
177,2020-09-15,2020-09-15,AL,AL,24,0
178,2020-09-16,2020-09-16,AL,AL,16,32
179,2020-09-17,2020-09-17,AL,AL,17,65
180,2020-09-18,2020-09-18,AL,AL,24,0
181,2020-09-19,2020-09-19,AL,AL,25,38
182,2020-09-20,2020-09-20,AL,AL,19,0
183,2020-09-21,2020-09-21,AL,AL,25,0
184,2020-09-22,2020-09-22,AL,AL,16,62
185,2020-09-23,2020-09-23,AL,AL,27,31
186,2020-09-24,2020-09-24,AL,AL,25,0
187,2020-09-25,2020-09-25,AL,AL,15,0
188,2020-09-26,2020-09-26,AL,AL,16,0
189,2020-09-27,2020-09-27,AL,AL,20,38
190,2020-09-28,2020-09-28,AL,AL,24,0
191,2020-09-29,2020-09-29,AL,AL,21,0
192,2020-09-30,2020-09-30,AL,AL,19,0
193,2020-10-01,2020-10-01,AL,AL,19,34
194,2020-10-02,2020-10-02,AL,AL,19,0
195,2020-10-03,2020-10-03,AL,AL,35,39
196,2020-10-04,2020-10-04,AL,AL,27,0
197,2020-10-05,2020-10-05,AL,AL,19,33
198,2020-10-06,2020-10-06,AL,AL,43,65
199,2020-10-07,2020-10-07,AL,AL,39,0
200,2020-03-22,2020-03-22,AZ,AZ,42,30
201,2020-03-23,2020-03-23,AZ,AZ,69,26
202,2020-03-24,2020-03-24,AZ,AZ,60,0
203,2020-03-25,2020-03-25,AZ,AZ,59,54
204,2020-03-26,2020-03-26,AZ,AZ,57,67
205,2020-03-27,2020-03-27,AZ,AZ,47,38
206,2020-03-28,2020-03-28,AZ,AZ,43,0
207,2020-03-29,2020-03-29,AZ,AZ,56,0
208,2020-03-30,2020-03-30,AZ,AZ,38,50
209,2020-03-31,2020-03-31,AZ,AZ,41,63
210,2020-04-01,2020-04-01,AZ,AZ,46,0
211,2020-04-02,2020-04-02,AZ,AZ,44,51
212,2020-04-03,2020-04-03,AZ,AZ,43,26
213,2020-04-04,2020-04-04,AZ,AZ,47,29
214,2020-04-05,2020-04-05,AZ,AZ,46,29
215,2020-04-06,2020-04-06,AZ,AZ,47,51
216,2020-04-07,2020-04-07,AZ,AZ,47,26
217,2020-04-08,2020-04-08,AZ,AZ,28,25
218,2020-04-09,2020-04-09,AZ,AZ,38,0
219,2020-04-10,2020-04-10,AZ,AZ,32,0
220,2020-04-11,2020-04-11,AZ,AZ,18,89
221,2020-04-12,2020-04-12,AZ,AZ,13,30
222,2020-04-13,2020-04-13,AZ,AZ,28,26
223,2020-04-14,2020-04-14,AZ,AZ,27,0
224,2020-04-15,2020-04-15,AZ,AZ,26,25
225,2020-04-16,2020-04-16,AZ,AZ,25,25
226,2020-04-17,2020-04-17,AZ,AZ,25,0
227,2020-04-18,2020-04-18,AZ,AZ,21,0
228,2020-04-19,2020-04-19,AZ,AZ,20,29
229,2020-04-20,2020-04-20,AZ,AZ,24,0
230,2020-04-21,2020-04-21,AZ,AZ,25,25
231,2020-04-22,2020-04-22,AZ,AZ,16,26
232,2020-04-23,2020-04-23,AZ,AZ,31,25
233,2020-04-24,2020-04-24,AZ,AZ,21,26
234,2020-04-25,2020-04-25,AZ,AZ,30,0
235,2020-04-26,2020-04-26,AZ,AZ,15,0
236,2020-04-27,2020-04-27,AZ,AZ,25,26
237,2020-04-28,2020-04-28,AZ,AZ,22,0
238,2020-04-29,2020-04-29,AZ,AZ,17,0
239,2020-04-30,2020-04-30,AZ,AZ,26,25
240,2020-05-01,2020-05-01,AZ,AZ,19,26
241,2020-05-02,2020-05-02,AZ,AZ,19,29
242,2020-05-03,2020-05-03,AZ,AZ,16,0
243,2020-05-04,2020-05-04,AZ,AZ,22,0
244,2020-05-05,2020-05-05,AZ,AZ,21,49
245,2020-05-06,2020-05-06,AZ,AZ,26,51
246,2020-05-07,2020-05-07,AZ,AZ,16,26
247,2020-05-08,2020-05-08,AZ,AZ,22,26
248,2020-05-09,2020-05-09,AZ,AZ,20,29
249,2020-05-10,2020-05-10,AZ,AZ,13,30
250,2020-05-11,2020-05-11,AZ,AZ,25,26
251,2020-05-12,2020-05-12,AZ,AZ,23,0
252,2020-05-13,2020-05-13,AZ,AZ,39,0
253,2020-05-14,2020-05-14,AZ,AZ,25,26
254,2020-05-15,2020-05-15,AZ,AZ,21,53
255,2020-05-16,2020-05-16,AZ,AZ,22,0
256,2020-05-17,2020-05-17,AZ,AZ,24,0
257,2020-05-18,2020-05-18,AZ,AZ,19,26
258,2020-05-19,2020-05-19,AZ,AZ,19,26
259,2020-05-20,2020-05-20,AZ,AZ,25,27
260,2020-05-21,2020-05-21,AZ,AZ,17,27
261,2020-05-22,2020-05-22,AZ,AZ,23,0
262,2020-05-23,2020-05-23,AZ,AZ,21,30
263,2020-05-24,2020-05-24,AZ,AZ,25,0
264,2020-05-25,2020-05-25,AZ,AZ,24,0
265,2020-05-26,2020-05-26,AZ,AZ,37,27
266,2020-05-27,2020-05-27,AZ,AZ,26,27
267,2020-05-28,2020-05-28,AZ,AZ,21,27
268,2020-05-29,2020-05-29,AZ,AZ,24,0
