,date,date,State,State,covid symptoms,do i have covid
2543,2020-08-12,2020-08-12,KS,KS,56,0
2544,2020-08-13,2020-08-13,KS,KS,46,50
2545,2020-08-14,2020-08-14,KS,KS,47,50
2546,2020-08-15,2020-08-15,KS,KS,47,0
2547,2020-08-16,2020-08-16,KS,KS,37,0
2548,2020-08-17,2020-08-17,KS,KS,75,0
2549,2020-08-18,2020-08-18,KS,KS,36,0
2550,2020-08-19,2020-08-19,KS,KS,60,0
2551,2020-08-20,2020-08-20,KS,KS,43,49
2552,2020-08-21,2020-08-21,KS,KS,39,0
2553,2020-08-22,2020-08-22,KS,KS,28,0
2554,2020-08-23,2020-08-23,KS,KS,48,0
2555,2020-08-24,2020-08-24,KS,KS,39,48
2556,2020-08-25,2020-08-25,KS,KS,51,0
2557,2020-08-26,2020-08-26,KS,KS,49,72
2558,2020-08-27,2020-08-27,KS,KS,41,47
2559,2020-08-28,2020-08-28,KS,KS,33,0
2560,2020-08-29,2020-08-29,KS,KS,42,0
2561,2020-08-30,2020-08-30,KS,KS,55,0
2562,2020-08-31,2020-08-31,KS,KS,77,46
2563,2020-09-01,2020-09-01,KS,KS,49,46
2564,2020-09-02,2020-09-02,KS,KS,47,46
2565,2020-09-03,2020-09-03,KS,KS,61,0
2566,2020-09-04,2020-09-04,KS,KS,33,0
2567,2020-09-05,2020-09-05,KS,KS,34,58
2568,2020-09-06,2020-09-06,KS,KS,34,0
2569,2020-09-07,2020-09-07,KS,KS,50,54
2570,2020-09-08,2020-09-08,KS,KS,36,44
2571,2020-09-09,2020-09-09,KS,KS,30,44
2572,2020-09-10,2020-09-10,KS,KS,40,44
2573,2020-09-11,2020-09-11,KS,KS,28,0
2574,2020-09-12,2020-09-12,KS,KS,47,57
2575,2020-09-13,2020-09-13,KS,KS,46,0
2576,2020-09-14,2020-09-14,KS,KS,66,0
2577,2020-09-15,2020-09-15,KS,KS,58,0
2578,2020-09-16,2020-09-16,KS,KS,43,45
2579,2020-09-17,2020-09-17,KS,KS,33,0
2580,2020-09-18,2020-09-18,KS,KS,49,46
2581,2020-09-19,2020-09-19,KS,KS,42,0
2582,2020-09-20,2020-09-20,KS,KS,30,57
2583,2020-09-21,2020-09-21,KS,KS,40,0
2584,2020-09-22,2020-09-22,KS,KS,32,45
2585,2020-09-23,2020-09-23,KS,KS,37,0
2586,2020-09-24,2020-09-24,KS,KS,56,45
2587,2020-09-25,2020-09-25,KS,KS,54,0
2588,2020-09-26,2020-09-26,KS,KS,47,61
2589,2020-09-27,2020-09-27,KS,KS,25,0
2590,2020-09-28,2020-09-28,KS,KS,61,96
2591,2020-09-29,2020-09-29,KS,KS,49,0
2592,2020-09-30,2020-09-30,KS,KS,31,0
2593,2020-10-01,2020-10-01,KS,KS,53,0
2594,2020-10-02,2020-10-02,KS,KS,56,0
2595,2020-10-03,2020-10-03,KS,KS,55,0
2596,2020-10-04,2020-10-04,KS,KS,60,0
2597,2020-10-05,2020-10-05,KS,KS,100,0
2598,2020-10-06,2020-10-06,KS,KS,38,0
2599,2020-10-07,2020-10-07,KS,KS,70,0
2600,2020-03-22,2020-03-22,KY,KY,54,0
2601,2020-03-23,2020-03-23,KY,KY,91,37
2602,2020-03-24,2020-03-24,KY,KY,71,0
2603,2020-03-25,2020-03-25,KY,KY,74,0
2604,2020-03-26,2020-03-26,KY,KY,79,41
2605,2020-03-27,2020-03-27,KY,KY,51,77
2606,2020-03-28,2020-03-28,KY,KY,45,0
2607,2020-03-29,2020-03-29,KY,KY,48,45
2608,2020-03-30,2020-03-30,KY,KY,77,40
2609,2020-03-31,2020-03-31,KY,KY,64,79
2610,2020-04-01,2020-04-01,KY,KY,80,80
2611,2020-04-02,2020-04-02,KY,KY,50,41
2612,2020-04-03,2020-04-03,KY,KY,45,0
2613,2020-04-04,2020-04-04,KY,KY,45,0
2614,2020-04-05,2020-04-05,KY,KY,49,46
2615,2020-04-06,2020-04-06,KY,KY,47,0
2616,2020-04-07,2020-04-07,KY,KY,33,39
2617,2020-04-08,2020-04-08,KY,KY,37,0
2618,2020-04-09,2020-04-09,KY,KY,46,39
2619,2020-04-10,2020-04-10,KY,KY,27,0
2620,2020-04-11,2020-04-11,KY,KY,33,0
2621,2020-04-12,2020-04-12,KY,KY,38,43
2622,2020-04-13,2020-04-13,KY,KY,29,37
2623,2020-04-14,2020-04-14,KY,KY,39,0
2624,2020-04-15,2020-04-15,KY,KY,22,0
2625,2020-04-16,2020-04-16,KY,KY,27,0
2626,2020-04-17,2020-04-17,KY,KY,13,36
2627,2020-04-18,2020-04-18,KY,KY,17,0
2628,2020-04-19,2020-04-19,KY,KY,30,0
2629,2020-04-20,2020-04-20,KY,KY,16,0
2630,2020-04-21,2020-04-21,KY,KY,33,38
2631,2020-04-22,2020-04-22,KY,KY,23,39
2632,2020-04-23,2020-04-23,KY,KY,44,36
2633,2020-04-24,2020-04-24,KY,KY,20,38
2634,2020-04-25,2020-04-25,KY,KY,26,0
2635,2020-04-26,2020-04-26,KY,KY,23,0
2636,2020-04-27,2020-04-27,KY,KY,17,0
2637,2020-04-28,2020-04-28,KY,KY,34,39
2638,2020-04-29,2020-04-29,KY,KY,29,37
2639,2020-04-30,2020-04-30,KY,KY,14,73
2640,2020-05-01,2020-05-01,KY,KY,25,0
2641,2020-05-02,2020-05-02,KY,KY,20,0
2642,2020-05-03,2020-05-03,KY,KY,22,0
2643,2020-05-04,2020-05-04,KY,KY,11,0
2644,2020-05-05,2020-05-05,KY,KY,24,0
2645,2020-05-06,2020-05-06,KY,KY,28,38
2646,2020-05-07,2020-05-07,KY,KY,16,0
2647,2020-05-08,2020-05-08,KY,KY,21,0
2648,2020-05-09,2020-05-09,KY,KY,13,44
2649,2020-05-10,2020-05-10,KY,KY,24,0
2650,2020-05-11,2020-05-11,KY,KY,23,39
2651,2020-05-12,2020-05-12,KY,KY,28,40
2652,2020-05-13,2020-05-13,KY,KY,23,38
2653,2020-05-14,2020-05-14,KY,KY,35,0
2654,2020-05-15,2020-05-15,KY,KY,24,0
2655,2020-05-16,2020-05-16,KY,KY,22,0
2656,2020-05-17,2020-05-17,KY,KY,22,89
2657,2020-05-18,2020-05-18,KY,KY,23,0
2658,2020-05-19,2020-05-19,KY,KY,29,0
2659,2020-05-20,2020-05-20,KY,KY,21,0
2660,2020-05-21,2020-05-21,KY,KY,22,0
2661,2020-05-22,2020-05-22,KY,KY,18,0
2662,2020-05-23,2020-05-23,KY,KY,18,0
2663,2020-05-24,2020-05-24,KY,KY,9,0
2664,2020-05-25,2020-05-25,KY,KY,15,0
2665,2020-05-26,2020-05-26,KY,KY,14,41
2666,2020-05-27,2020-05-27,KY,KY,30,0
2667,2020-05-28,2020-05-28,KY,KY,28,0
2668,2020-05-29,2020-05-29,KY,KY,14,0
2669,2020-05-30,2020-05-30,KY,KY,14,0
2670,2020-05-31,2020-05-31,KY,KY,21,0
2671,2020-06-01,2020-06-01,KY,KY,11,0
2672,2020-06-02,2020-06-02,KY,KY,21,0
2673,2020-06-03,2020-06-03,KY,KY,24,0
2674,2020-06-04,2020-06-04,KY,KY,16,0
2675,2020-06-05,2020-06-05,KY,KY,26,41
2676,2020-06-06,2020-06-06,KY,KY,21,0
2677,2020-06-07,2020-06-07,KY,KY,21,47
2678,2020-06-08,2020-06-08,KY,KY,19,0
2679,2020-06-09,2020-06-09,KY,KY,23,0
2680,2020-06-10,2020-06-10,KY,KY,26,0
2681,2020-06-11,2020-06-11,KY,KY,19,0
2682,2020-06-12,2020-06-12,KY,KY,21,0
2683,2020-06-13,2020-06-13,KY,KY,21,48
2684,2020-06-14,2020-06-14,KY,KY,23,0
2685,2020-06-15,2020-06-15,KY,KY,23,0
2686,2020-06-16,2020-06-16,KY,KY,31,0
2687,2020-06-17,2020-06-17,KY,KY,32,86
2688,2020-06-18,2020-06-18,KY,KY,23,43
2689,2020-06-19,2020-06-19,KY,KY,13,44
2690,2020-06-20,2020-06-20,KY,KY,19,0
2691,2020-06-21,2020-06-21,KY,KY,17,0
2692,2020-06-22,2020-06-22,KY,KY,29,0
2693,2020-06-23,2020-06-23,KY,KY,38,0
2694,2020-06-24,2020-06-24,KY,KY,28,0
2695,2020-06-25,2020-06-25,KY,KY,43,0
2696,2020-06-26,2020-06-26,KY,KY,46,91
2697,2020-06-27,2020-06-27,KY,KY,38,0
2698,2020-06-28,2020-06-28,KY,KY,41,0
2699,2020-06-29,2020-06-29,KY,KY,40,63
2700,2020-06-30,2020-06-30,KY,KY,36,43
2701,2020-07-01,2020-07-01,KY,KY,61,0
2702,2020-07-02,2020-07-02,KY,KY,55,0
2703,2020-07-03,2020-07-03,KY,KY,42,0
2704,2020-07-04,2020-07-04,KY,KY,48,0
2705,2020-07-05,2020-07-05,KY,KY,39,0
2706,2020-07-06,2020-07-06,KY,KY,61,42
2707,2020-07-07,2020-07-07,KY,KY,53,0
2708,2020-07-08,2020-07-08,KY,KY,57,45
2709,2020-07-09,2020-07-09,KY,KY,51,45
2710,2020-07-10,2020-07-10,KY,KY,49,45
2711,2020-07-11,2020-07-11,KY,KY,59,0
2712,2020-07-12,2020-07-12,KY,KY,69,0
2713,2020-07-13,2020-07-13,KY,KY,78,0
2714,2020-07-14,2020-07-14,KY,KY,100,45
2715,2020-07-15,2020-07-15,KY,KY,61,0
2716,2020-07-16,2020-07-16,KY,KY,58,90
2717,2020-07-17,2020-07-17,KY,KY,58,0
2718,2020-07-18,2020-07-18,KY,KY,58,51
2719,2020-07-19,2020-07-19,KY,KY,35,50
2720,2020-07-20,2020-07-20,KY,KY,64,0
2721,2020-07-21,2020-07-21,KY,KY,68,0
2722,2020-07-22,2020-07-22,KY,KY,59,0
2723,2020-07-23,2020-07-23,KY,KY,47,87
2724,2020-07-24,2020-07-24,KY,KY,68,0
2725,2020-07-25,2020-07-25,KY,KY,39,100
2726,2020-07-26,2020-07-26,KY,KY,55,0
2727,2020-07-27,2020-07-27,KY,KY,63,0
2728,2020-07-28,2020-07-28,KY,KY,79,45
2729,2020-07-29,2020-07-29,KY,KY,44,46
2730,2020-07-30,2020-07-30,KY,KY,58,43
2731,2020-07-31,2020-07-31,KY,KY,46,0
2732,2020-08-01,2020-08-01,KY,KY,52,96
2733,2020-08-02,2020-08-02,KY,KY,36,0
2734,2020-08-03,2020-08-03,KY,KY,59,0
2735,2020-08-04,2020-08-04,KY,KY,56,0
2736,2020-08-05,2020-08-05,KY,KY,62,0
2737,2020-08-06,2020-08-06,KY,KY,55,0
2738,2020-08-07,2020-08-07,KY,KY,49,0
2739,2020-08-08,2020-08-08,KY,KY,37,0
2740,2020-08-09,2020-08-09,KY,KY,46,0
2741,2020-08-10,2020-08-10,KY,KY,67,0
2742,2020-08-11,2020-08-11,KY,KY,62,44
2743,2020-08-12,2020-08-12,KY,KY,28,0
2744,2020-08-13,2020-08-13,KY,KY,54,0
2745,2020-08-14,2020-08-14,KY,KY,53,45
2746,2020-08-15,2020-08-15,KY,KY,34,50
2747,2020-08-16,2020-08-16,KY,KY,10,0
2748,2020-08-17,2020-08-17,KY,KY,20,44
2749,2020-08-18,2020-08-18,KY,KY,60,66
2750,2020-08-19,2020-08-19,KY,KY,38,45
2751,2020-08-20,2020-08-20,KY,KY,33,0
2752,2020-08-21,2020-08-21,KY,KY,37,0
2753,2020-08-22,2020-08-22,KY,KY,31,0
2754,2020-08-23,2020-08-23,KY,KY,41,0
2755,2020-08-24,2020-08-24,KY,KY,54,0
2756,2020-08-25,2020-08-25,KY,KY,34,40
2757,2020-08-26,2020-08-26,KY,KY,35,40
2758,2020-08-27,2020-08-27,KY,KY,31,39
2759,2020-08-28,2020-08-28,KY,KY,50,0
2760,2020-08-29,2020-08-29,KY,KY,23,0
2761,2020-08-30,2020-08-30,KY,KY,31,48
2762,2020-08-31,2020-08-31,KY,KY,44,0
2763,2020-09-01,2020-09-01,KY,KY,46,0
2764,2020-09-02,2020-09-02,KY,KY,37,0
2765,2020-09-03,2020-09-03,KY,KY,35,0
2766,2020-09-04,2020-09-04,KY,KY,20,0
2767,2020-09-05,2020-09-05,KY,KY,22,0
2768,2020-09-06,2020-09-06,KY,KY,18,0
2769,2020-09-07,2020-09-07,KY,KY,30,0
2770,2020-09-08,2020-09-08,KY,KY,34,77
2771,2020-09-09,2020-09-09,KY,KY,27,79
2772,2020-09-10,2020-09-10,KY,KY,45,40
2773,2020-09-11,2020-09-11,KY,KY,30,0
2774,2020-09-12,2020-09-12,KY,KY,32,50
2775,2020-09-13,2020-09-13,KY,KY,41,0
2776,2020-09-14,2020-09-14,KY,KY,36,39
2777,2020-09-15,2020-09-15,KY,KY,37,0
2778,2020-09-16,2020-09-16,KY,KY,34,0
2779,2020-09-17,2020-09-17,KY,KY,41,0
2780,2020-09-18,2020-09-18,KY,KY,31,0
2781,2020-09-19,2020-09-19,KY,KY,23,52
2782,2020-09-20,2020-09-20,KY,KY,22,50
2783,2020-09-21,2020-09-21,KY,KY,35,40
2784,2020-09-22,2020-09-22,KY,KY,33,0
2785,2020-09-23,2020-09-23,KY,KY,24,41
2786,2020-09-24,2020-09-24,KY,KY,28,0
2787,2020-09-25,2020-09-25,KY,KY,29,46
2788,2020-09-26,2020-09-26,KY,KY,19,0
2789,2020-09-27,2020-09-27,KY,KY,37,0
2790,2020-09-28,2020-09-28,KY,KY,28,0
2791,2020-09-29,2020-09-29,KY,KY,47,0
2792,2020-09-30,2020-09-30,KY,KY,33,0
2793,2020-10-01,2020-10-01,KY,KY,19,0
2794,2020-10-02,2020-10-02,KY,KY,55,0
2795,2020-10-03,2020-10-03,KY,KY,68,55
2796,2020-10-04,2020-10-04,KY,KY,49,0
2797,2020-10-05,2020-10-05,KY,KY,39,0
2798,2020-10-06,2020-10-06,KY,KY,72,0
2799,2020-10-07,2020-10-07,KY,KY,30,47
2800,2020-03-22,2020-03-22,LA,LA,80,68
2801,2020-03-23,2020-03-23,LA,LA,52,29
2802,2020-03-24,2020-03-24,LA,LA,80,0
2803,2020-03-25,2020-03-25,LA,LA,60,47
2804,2020-03-26,2020-03-26,LA,LA,79,47
2805,2020-03-27,2020-03-27,LA,LA,55,30
2806,2020-03-28,2020-03-28,LA,LA,62,35
2807,2020-03-29,2020-03-29,LA,LA,62,35
2808,2020-03-30,2020-03-30,LA,LA,60,0
2809,2020-03-31,2020-03-31,LA,LA,67,29
2810,2020-04-01,2020-04-01,LA,LA,51,30
2811,2020-04-02,2020-04-02,LA,LA,59,0
2812,2020-04-03,2020-04-03,LA,LA,49,0
2813,2020-04-04,2020-04-04,LA,LA,59,0
2814,2020-04-05,2020-04-05,LA,LA,27,34
2815,2020-04-06,2020-04-06,LA,LA,31,59
2816,2020-04-07,2020-04-07,LA,LA,41,0
2817,2020-04-08,2020-04-08,LA,LA,38,0
2818,2020-04-09,2020-04-09,LA,LA,25,30
2819,2020-04-10,2020-04-10,LA,LA,21,0
2820,2020-04-11,2020-04-11,LA,LA,32,0
2821,2020-04-12,2020-04-12,LA,LA,29,33
2822,2020-04-13,2020-04-13,LA,LA,21,0
2823,2020-04-14,2020-04-14,LA,LA,39,0
2824,2020-04-15,2020-04-15,LA,LA,19,0
2825,2020-04-16,2020-04-16,LA,LA,16,29
2826,2020-04-17,2020-04-17,LA,LA,21,0
2827,2020-04-18,2020-04-18,LA,LA,19,32
2828,2020-04-19,2020-04-19,LA,LA,22,0
2829,2020-04-20,2020-04-20,LA,LA,15,0
2830,2020-04-21,2020-04-21,LA,LA,20,0
2831,2020-04-22,2020-04-22,LA,LA,25,0
2832,2020-04-23,2020-04-23,LA,LA,13,0
2833,2020-04-24,2020-04-24,LA,LA,11,0
2834,2020-04-25,2020-04-25,LA,LA,25,0
2835,2020-04-26,2020-04-26,LA,LA,25,0
2836,2020-04-27,2020-04-27,LA,LA,29,0
2837,2020-04-28,2020-04-28,LA,LA,25,0
2838,2020-04-29,2020-04-29,LA,LA,19,0
2839,2020-04-30,2020-04-30,LA,LA,15,0
2840,2020-05-01,2020-05-01,LA,LA,13,0
2841,2020-05-02,2020-05-02,LA,LA,17,0
2842,2020-05-03,2020-05-03,LA,LA,11,0
2843,2020-05-04,2020-05-04,LA,LA,11,0
2844,2020-05-05,2020-05-05,LA,LA,12,0
2845,2020-05-06,2020-05-06,LA,LA,15,0
2846,2020-05-07,2020-05-07,LA,LA,16,0
2847,2020-05-08,2020-05-08,LA,LA,22,0
2848,2020-05-09,2020-05-09,LA,LA,11,0
2849,2020-05-10,2020-05-10,LA,LA,15,0
2850,2020-05-11,2020-05-11,LA,LA,15,30
2851,2020-05-12,2020-05-12,LA,LA,15,0
2852,2020-05-13,2020-05-13,LA,LA,27,0
2853,2020-05-14,2020-05-14,LA,LA,20,0
2854,2020-05-15,2020-05-15,LA,LA,10,0
2855,2020-05-16,2020-05-16,LA,LA,27,0
2856,2020-05-17,2020-05-17,LA,LA,12,0
2857,2020-05-18,2020-05-18,LA,LA,10,0
2858,2020-05-19,2020-05-19,LA,LA,17,0
2859,2020-05-20,2020-05-20,LA,LA,11,0
2860,2020-05-21,2020-05-21,LA,LA,18,30
2861,2020-05-22,2020-05-22,LA,LA,19,0
2862,2020-05-23,2020-05-23,LA,LA,19,0
2863,2020-05-24,2020-05-24,LA,LA,13,0
2864,2020-05-25,2020-05-25,LA,LA,18,0
2865,2020-05-26,2020-05-26,LA,LA,19,0
2866,2020-05-27,2020-05-27,LA,LA,16,0
2867,2020-05-28,2020-05-28,LA,LA,17,0
2868,2020-05-29,2020-05-29,LA,LA,17,0
2869,2020-05-30,2020-05-30,LA,LA,14,0
2870,2020-05-31,2020-05-31,LA,LA,9,0
2871,2020-06-01,2020-06-01,LA,LA,10,0
2872,2020-06-02,2020-06-02,LA,LA,16,0
2873,2020-06-03,2020-06-03,LA,LA,17,0
2874,2020-06-04,2020-06-04,LA,LA,19,29
2875,2020-06-05,2020-06-05,LA,LA,16,0
2876,2020-06-06,2020-06-06,LA,LA,24,0
2877,2020-06-07,2020-06-07,LA,LA,12,33
2878,2020-06-08,2020-06-08,LA,LA,15,0
2879,2020-06-09,2020-06-09,LA,LA,15,0
2880,2020-06-10,2020-06-10,LA,LA,13,0
2881,2020-06-11,2020-06-11,LA,LA,11,0
2882,2020-06-12,2020-06-12,LA,LA,13,32
2883,2020-06-13,2020-06-13,LA,LA,15,0
2884,2020-06-14,2020-06-14,LA,LA,18,0
2885,2020-06-15,2020-06-15,LA,LA,17,46
2886,2020-06-16,2020-06-16,LA,LA,19,30
2887,2020-06-17,2020-06-17,LA,LA,31,0
2888,2020-06-18,2020-06-18,LA,LA,30,0
2889,2020-06-19,2020-06-19,LA,LA,25,31
2890,2020-06-20,2020-06-20,LA,LA,30,0
2891,2020-06-21,2020-06-21,LA,LA,31,37
2892,2020-06-22,2020-06-22,LA,LA,35,31
2893,2020-06-23,2020-06-23,LA,LA,41,31
2894,2020-06-24,2020-06-24,LA,LA,50,30
2895,2020-06-25,2020-06-25,LA,LA,70,0
2896,2020-06-26,2020-06-26,LA,LA,54,32
2897,2020-06-27,2020-06-27,LA,LA,59,0
2898,2020-06-28,2020-06-28,LA,LA,53,35
2899,2020-06-29,2020-06-29,LA,LA,69,78
2900,2020-06-30,2020-06-30,LA,LA,58,63
2901,2020-07-01,2020-07-01,LA,LA,71,32
2902,2020-07-02,2020-07-02,LA,LA,70,32
2903,2020-07-03,2020-07-03,LA,LA,53,66
2904,2020-07-04,2020-07-04,LA,LA,70,78
2905,2020-07-05,2020-07-05,LA,LA,62,38
2906,2020-07-06,2020-07-06,LA,LA,83,0
2907,2020-07-07,2020-07-07,LA,LA,79,61
2908,2020-07-08,2020-07-08,LA,LA,100,0
2909,2020-07-09,2020-07-09,LA,LA,64,32
2910,2020-07-10,2020-07-10,LA,LA,76,0
2911,2020-07-11,2020-07-11,LA,LA,66,0
2912,2020-07-12,2020-07-12,LA,LA,70,36
2913,2020-07-13,2020-07-13,LA,LA,75,0
2914,2020-07-14,2020-07-14,LA,LA,73,32
2915,2020-07-15,2020-07-15,LA,LA,71,0
2916,2020-07-16,2020-07-16,LA,LA,56,0
2917,2020-07-17,2020-07-17,LA,LA,60,0
2918,2020-07-18,2020-07-18,LA,LA,47,56
2919,2020-07-19,2020-07-19,LA,LA,58,0
2920,2020-07-20,2020-07-20,LA,LA,51,0
2921,2020-07-21,2020-07-21,LA,LA,41,0
2922,2020-07-22,2020-07-22,LA,LA,51,32
2923,2020-07-23,2020-07-23,LA,LA,47,64
2924,2020-07-24,2020-07-24,LA,LA,39,0
2925,2020-07-25,2020-07-25,LA,LA,30,0
2926,2020-07-26,2020-07-26,LA,LA,28,0
2927,2020-07-27,2020-07-27,LA,LA,48,0
2928,2020-07-28,2020-07-28,LA,LA,42,0
2929,2020-07-29,2020-07-29,LA,LA,54,32
2930,2020-07-30,2020-07-30,LA,LA,54,33
2931,2020-07-31,2020-07-31,LA,LA,36,100
2932,2020-08-01,2020-08-01,LA,LA,38,0
2933,2020-08-02,2020-08-02,LA,LA,26,0
2934,2020-08-03,2020-08-03,LA,LA,39,33
2935,2020-08-04,2020-08-04,LA,LA,42,0
2936,2020-08-05,2020-08-05,LA,LA,49,64
2937,2020-08-06,2020-08-06,LA,LA,35,32
2938,2020-08-07,2020-08-07,LA,LA,38,0
2939,2020-08-08,2020-08-08,LA,LA,34,0
2940,2020-08-09,2020-08-09,LA,LA,44,0
2941,2020-08-10,2020-08-10,LA,LA,53,0
2942,2020-08-11,2020-08-11,LA,LA,39,0
2943,2020-08-12,2020-08-12,LA,LA,28,46
2944,2020-08-13,2020-08-13,LA,LA,33,31
2945,2020-08-14,2020-08-14,LA,LA,34,31
2946,2020-08-15,2020-08-15,LA,LA,17,0
2947,2020-08-16,2020-08-16,LA,LA,40,37
2948,2020-08-17,2020-08-17,LA,LA,32,31
2949,2020-08-18,2020-08-18,LA,LA,37,30
2950,2020-08-19,2020-08-19,LA,LA,35,30
2951,2020-08-20,2020-08-20,LA,LA,20,0
2952,2020-08-21,2020-08-21,LA,LA,23,0
2953,2020-08-22,2020-08-22,LA,LA,25,0
2954,2020-08-23,2020-08-23,LA,LA,24,36
2955,2020-08-24,2020-08-24,LA,LA,19,30
2956,2020-08-25,2020-08-25,LA,LA,21,30
2957,2020-08-26,2020-08-26,LA,LA,19,0
2958,2020-08-27,2020-08-27,LA,LA,21,32
2959,2020-08-28,2020-08-28,LA,LA,17,0
2960,2020-08-29,2020-08-29,LA,LA,19,0
2961,2020-08-30,2020-08-30,LA,LA,24,0
2962,2020-08-31,2020-08-31,LA,LA,25,30
2963,2020-09-01,2020-09-01,LA,LA,25,0
2964,2020-09-02,2020-09-02,LA,LA,24,31
2965,2020-09-03,2020-09-03,LA,LA,16,30
2966,2020-09-04,2020-09-04,LA,LA,35,0
2967,2020-09-05,2020-09-05,LA,LA,27,0
2968,2020-09-06,2020-09-06,LA,LA,26,39
2969,2020-09-07,2020-09-07,LA,LA,23,0
2970,2020-09-08,2020-09-08,LA,LA,16,30
2971,2020-09-09,2020-09-09,LA,LA,22,0
2972,2020-09-10,2020-09-10,LA,LA,21,0
2973,2020-09-11,2020-09-11,LA,LA,19,31
2974,2020-09-12,2020-09-12,LA,LA,26,0
2975,2020-09-13,2020-09-13,LA,LA,13,0
2976,2020-09-14,2020-09-14,LA,LA,22,89
2977,2020-09-15,2020-09-15,LA,LA,24,0
2978,2020-09-16,2020-09-16,LA,LA,21,0
2979,2020-09-17,2020-09-17,LA,LA,24,0
2980,2020-09-18,2020-09-18,LA,LA,15,0
2981,2020-09-19,2020-09-19,LA,LA,21,35
2982,2020-09-20,2020-09-20,LA,LA,17,0
2983,2020-09-21,2020-09-21,LA,LA,26,0
2984,2020-09-22,2020-09-22,LA,LA,19,0
2985,2020-09-23,2020-09-23,LA,LA,19,0
2986,2020-09-24,2020-09-24,LA,LA,18,0
2987,2020-09-25,2020-09-25,LA,LA,19,0
2988,2020-09-26,2020-09-26,LA,LA,22,0
2989,2020-09-27,2020-09-27,LA,LA,27,38
2990,2020-09-28,2020-09-28,LA,LA,23,62
2991,2020-09-29,2020-09-29,LA,LA,14,0
2992,2020-09-30,2020-09-30,LA,LA,11,0
2993,2020-10-01,2020-10-01,LA,LA,25,0
2994,2020-10-02,2020-10-02,LA,LA,31,67
2995,2020-10-03,2020-10-03,LA,LA,36,39
2996,2020-10-04,2020-10-04,LA,LA,31,0
2997,2020-10-05,2020-10-05,LA,LA,26,0
2998,2020-10-06,2020-10-06,LA,LA,34,62
2999,2020-10-07,2020-10-07,LA,LA,21,31
3000,2020-03-22,2020-03-22,MD,MD,61,0
3001,2020-03-23,2020-03-23,MD,MD,80,57
3002,2020-03-24,2020-03-24,MD,MD,96,31
3003,2020-03-25,2020-03-25,MD,MD,100,0
3004,2020-03-26,2020-03-26,MD,MD,76,0
3005,2020-03-27,2020-03-27,MD,MD,77,31
3006,2020-03-28,2020-03-28,MD,MD,89,34
3007,2020-03-29,2020-03-29,MD,MD,82,0
3008,2020-03-30,2020-03-30,MD,MD,78,29
3009,2020-03-31,2020-03-31,MD,MD,81,30
3010,2020-04-01,2020-04-01,MD,MD,83,0
3011,2020-04-02,2020-04-02,MD,MD,62,0
3012,2020-04-03,2020-04-03,MD,MD,76,30
3013,2020-04-04,2020-04-04,MD,MD,72,34
3014,2020-04-05,2020-04-05,MD,MD,54,69
3015,2020-04-06,2020-04-06,MD,MD,79,29
3016,2020-04-07,2020-04-07,MD,MD,59,44
3017,2020-04-08,2020-04-08,MD,MD,40,30
3018,2020-04-09,2020-04-09,MD,MD,44,0
3019,2020-04-10,2020-04-10,MD,MD,47,61
3020,2020-04-11,2020-04-11,MD,MD,52,0
3021,2020-04-12,2020-04-12,MD,MD,54,34
3022,2020-04-13,2020-04-13,MD,MD,35,29
3023,2020-04-14,2020-04-14,MD,MD,41,58
3024,2020-04-15,2020-04-15,MD,MD,47,28
3025,2020-04-16,2020-04-16,MD,MD,38,0
3026,2020-04-17,2020-04-17,MD,MD,50,29
3027,2020-04-18,2020-04-18,MD,MD,29,0
3028,2020-04-19,2020-04-19,MD,MD,35,66
3029,2020-04-20,2020-04-20,MD,MD,42,29
3030,2020-04-21,2020-04-21,MD,MD,39,0
3031,2020-04-22,2020-04-22,MD,MD,34,0
3032,2020-04-23,2020-04-23,MD,MD,50,0
3033,2020-04-24,2020-04-24,MD,MD,34,0
3034,2020-04-25,2020-04-25,MD,MD,36,32
3035,2020-04-26,2020-04-26,MD,MD,48,31
3036,2020-04-27,2020-04-27,MD,MD,51,28
3037,2020-04-28,2020-04-28,MD,MD,43,0
3038,2020-04-29,2020-04-29,MD,MD,52,29
3039,2020-04-30,2020-04-30,MD,MD,47,27
3040,2020-05-01,2020-05-01,MD,MD,26,29
3041,2020-05-02,2020-05-02,MD,MD,20,0
3042,2020-05-03,2020-05-03,MD,MD,21,0
3043,2020-05-04,2020-05-04,MD,MD,38,0
3044,2020-05-05,2020-05-05,MD,MD,33,54
3045,2020-05-06,2020-05-06,MD,MD,37,0
3046,2020-05-07,2020-05-07,MD,MD,43,0
3047,2020-05-08,2020-05-08,MD,MD,26,0
3048,2020-05-09,2020-05-09,MD,MD,41,0
3049,2020-05-10,2020-05-10,MD,MD,22,0
3050,2020-05-11,2020-05-11,MD,MD,43,0
3051,2020-05-12,2020-05-12,MD,MD,25,29
3052,2020-05-13,2020-05-13,MD,MD,33,30
3053,2020-05-14,2020-05-14,MD,MD,33,0
3054,2020-05-15,2020-05-15,MD,MD,33,0
3055,2020-05-16,2020-05-16,MD,MD,18,0
3056,2020-05-17,2020-05-17,MD,MD,29,0
3057,2020-05-18,2020-05-18,MD,MD,35,29
3058,2020-05-19,2020-05-19,MD,MD,41,29
3059,2020-05-20,2020-05-20,MD,MD,47,29
